id;nom;telephone;solde;is_actif;photo;photo_content_type;date_creation
1;reciprocal payment;(547) 618-3067;57886;true;../fake-data/blob/hipster.png;image/png;2022-10-06
2;compressing paradigm;1-923-389-9353;65665;true;../fake-data/blob/hipster.png;image/png;2022-10-07
3;interfaces;1-907-502-3988 x7;80119;true;../fake-data/blob/hipster.png;image/png;2022-10-07
4;Springs Checking Account;388-901-7532 x974;50044;true;../fake-data/blob/hipster.png;image/png;2022-10-07
5;Wooden;906-686-1123 x574;49849;false;../fake-data/blob/hipster.png;image/png;2022-10-07
6;Avon Handmade paradigms;(295) 249-6892 x2;31946;false;../fake-data/blob/hipster.png;image/png;2022-10-07
7;regional;104.949.9122 x671;48220;true;../fake-data/blob/hipster.png;image/png;2022-10-06
8;neural Up-sized migration;1-132-102-6090 x1;17258;false;../fake-data/blob/hipster.png;image/png;2022-10-07
9;Pants;1-353-512-7935 x6;44022;true;../fake-data/blob/hipster.png;image/png;2022-10-06
10;optical COM;076.990.5616 x961;6182;false;../fake-data/blob/hipster.png;image/png;2022-10-07
